kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
item,PhD Theses,"Ph.D. 2008-2012 Dr. Van Viet Pham [Thesis] Optimisation Algorithms and Heuristics for Aircraft User-Preferred Routes and their Environmental Impact. Principal Supervisor: Hussein Abbass, Co Supervisor: Chris Lokan and Sameer Alam",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_10787&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Van%20Viet%20Pham&sortby=rank&offset=0",Open thesis,Team,PhD Theses,57,list
item,PhD Theses,"Ph.D. 2008-2011 Dr. Jiangjun Tang [Thesis] Large Scale Multi-Objective Optimization for Dynamic Airspace Sectorization. Principal Supervisor: Hussein Abbass, Co Supervisor: Chris Lokan and Sameer Alam",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_10723&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Jiangjun%20Tang&sortby=rank&offset=0",Open thesis,Team,PhD Theses,59,list
item,PhD Theses,"Part-time Ph.D. 2005-2011 Dr. Kuang-Yuan (Steven) Chen A Methodology for Training XCS Agents to Optimise Team and Individual Performance on Path Planning Problems. Principal Supervisor: Peter Lindsay (UQ), Co Supervisor: Hussein Abbass",,,,PhD Theses,,,,Team,PhD Theses,61,list
item,PhD Theses,"Ph.D. 2008-2011 Dr. Hendra Gunawan Harno [Thesis] Evolutionary Method in the Design of Robust Control Systems. Principal Supervisor: Ian R. Petersen, Co Supervisor: Hussein Abbass",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_10109&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Hendra%20Gunawan%20Harno&sortby=rank&offset=0",Open thesis,Team,PhD Theses,62,list
item,PhD Theses,"Ph.D. 2005-2008 Dr. Kamran Shafi (Received The Stephen Fester Prize for the most outstanding PhD thesis in Information Technology, UNSW@ADFA, 2008) [Thesis] An Online and Adaptive Signature Learning Approach for Intrusion Detection Using Learning Classifier Systems. Principal Supervisor: Hussein Abbass, Co Supervisor: Weibing Zhou",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3559&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Kamran%20Shafi&offset=0",Open thesis,Team,PhD Theses,64,list
item,PhD Theses,"Ph.D. 2005-2008 Dr. Sameer Alam [Thesis] Evolving Complexity Towards Risk: A Massive Scenario Generation Approach for Evaluating Advanced Air Traffic Management Concepts. Principal Supervisor: Hussein Abbass, Co Supervisor: Michael Barlow and Peter Lindsay (UQ)",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3534&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Sameer%20Alam&sortby=rank&offset=0",Open thesis,Team,PhD Theses,66,list
item,PhD Theses,"Ph.D. 2004-2008 Dr. Hai Huong (Helen) Dam (Received The Ria de Groot Prize for the most outstanding female post-graduate student, UNSW@ADFA, 2008) [Thesis] A scalable evolutionary learning classifier system for knowledge discovery in stream data mining. Principal Supervisor: Hussein Abbass, Co Supervisor: Chris Lokan",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3421&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Hai%20Dam&sortby=rank&offset=0",Open thesis,Team,PhD Theses,68,list
item,PhD Theses,"Part-time Ph.D. S1/2003-2008 Dr. Jennifer Badham [Thesis] The Role of social network properties on the impact of direct contact epidemics. Principal Supervisor: Hussein Abbass, Co Supervisor: Robert Stocker",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3225&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Jennifer%20Badham&sortby=rank&offset=0",Open thesis,Team,PhD Theses,70,list
item,PhD Theses,"Ph.D. 2004-2007 A/Prof. Lam Thu Bui (Received The Stephen Fester Prize for the most outstanding PhD thesis in Information Technology, UNSW@ADFA, 2007) [Thesis] The Role of Communication Messages and Explicit Niching in Distributed Evolutionary Multi-objective Optimization. Principal Supervisor: Hussein Abbass, Co Supervisor: Daryl Essam, David Green (Monash) and Kalyanmoy Deb (IT Kanpur)",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3279&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Lam%20Thu%20Bui&sortby=rank&offset=0",Open thesis,Team,PhD Theses,72,list
item,PhD Theses,"Ph.D. 2003-2007 Dr. Ang Yang [Thesis] A Networked Multi-Agent Combat Model: Emergence Explained. Principal Supervisor: Hussein Abbass, Co Supervisor: Ruhul Sarker and Neville Curtis (DSTO)",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3371&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Ang%20Yang&sortby=rank&offset=0",Open thesis,Team,PhD Theses,74,list
